probe,closestTSSstrand,distTSS,closestTSSgene,closestTSSpos
cg02348116,+,71,POLR3G,89770680
cg13386712,-,-91,ARNT,150849075
cg17048363,+,615,CDK8,26828265
cg03939464,-,122,NOB1,69788829
cg08056863,-,0,SPC24,11266458
cg09859456,+,775,TBC1D15,72233538
cg01199950,-,341,TAPBP,33281855
cg13714586,-,832,FBXW5,139839190
cg16500810,+,-178,CRKL,21271694
cg09674251,+,43,KCNQ4,41249458
cg25130734,-,34,IMMP1L,31531169
cg04056025,+,-35,GTF2F2,45694644
cg22728323,+,-338,EIF4EBP1,37888051
cg17853575,+,-51,OSBPL9,52082763
cg02521643,-,388,ELOVL7,60140096
cg14770000,+,-176,EEFSEC,127872323
cg19340278,-,-291,TCTN3,97453684
cg14694952,+,500,HTT,3076407
cg17579214,+,-1047,RAP2A,98086422
cg00724774,-,-7,ATP8B3,1812275
cg10359940,+,-77,DNAJC10,183580983
cg13362313,+,-226,CRTC1,18794489
cg19070798,-,-104,ANKRD54,38240454
cg11723397,+,-20540,PAPOLG,60983402
cg20536512,+,-170,MYL12A,3247479
cg00208412,-,74,GOLGA7B-DT,99609555
cg08967106,+,56401,MRM1,34958011
cg19695198,-,-206,TRIM25,54991410
cg23620822,+,-8,LINC00620,13692220
cg15553848,-,80,MAP4K3,39664426
cg23632979,-,14,SAT2,7531139
cg24786498,+,-82,DANCR,53578560
cg05910138,+,-70,HMGCR,74632992
cg13042536,+,127,BRMS1L,36295543
cg22702618,+,5505,REX1BD,18699607
cg02190400,+,9848,MIR4257,150524404
cg16132351,+,-578,COL9A3,61448401
cg19955118,-,-262,JMJD1C,65225737
cg04380635,-,-76,SEC31A,83812433
cg11503720,+,38,MAEL,166944818
cg16380351,+,-721,SLC25A30-AS1,45992296
cg20953075,-,-25,CEBPZ,37458739
cg10752545,+,319,NAV2,19734382
cg03322239,+,103,UBR2,42531766
cg06919568,+,312,TCF25,89939999
cg13654253,+,-176,SLC22A4,131630086
cg11210604,-,23,NME9,138048693
cg14421218,+,-172,CCT7,73461435
cg19471376,+,-140,TIMM22,900368
cg06547771,+,-76,TTC17,43380469
cg14574203,+,162,FAM120A,96213966
cg14529224,+,-106,WDR76,44119199
cg11198222,-,-42,CDK11A,1655796
cg12664207,+,-68,FBXO22,76196218
cg19104656,+,73,VARS2,30882014
cg01038450,+,-32,MATN2,98881291
cg03591709,+,-105,MCUB,110481401
cg06294027,+,-87,ADAM9,38854491
cg16504626,-,-43472,MOS,57026541
cg09553402,-,53,MGAT1,180229806
cg26468274,+,79,POLH,43543921
cg27311414,-,65,B4GALT3,161147297
cg05445632,-,-268,B3GAT1,134282136
cg26418137,+,-2957,TRIM31-AS1,30073016
cg05595602,-,-404,MRPL20,1342673
cg17597787,+,-233,GORASP2,171785762
cg15129183,+,1873,LINC01366,169758396
cg12133425,-,243,ZNF496,247495169
cg17019204,-,-205,SNX14,86303576
cg05641961,-,246,CIB1,90777173
cg26689097,-,-65,KRCC1,88355302
cg18639405,+,-276,MANF,51422721
cg14831990,+,-67,LRRC74B,21400234
cg27081243,-,-219,CUTA,33385884
cg26439015,-,315,SLC12A7,1112178
cg25049597,+,51,CPLX3,75118967
cg05954989,+,-803,PAOX,135192765
cg20763254,+,88,SLC25A37,23386468
cg09303701,+,118,WDR35-DT,20189964
cg19708238,-,-375,AP3S2,90437226
cg25950548,-,-41,TIA1,70475760
cg21184320,-,293,KIF17,21044500
cg04645421,-,-79,LINC01023,108063962
cg08502490,+,-282,HCG14,28864306
cg05149234,+,153,KLC2,66024758
cg26943658,+,24,WASHC4,105501508
cg00629941,+,-41,SCAMP5,75287903
cg17142722,+,2030,TMEM88B,1361250
cg19816011,-,-12,ZC3H8,113012619
cg11890080,+,-425,OGFOD2,123459272
cg23235334,+,-828,CCND2,4382927
cg17474694,+,55,AGL,100315916
cg26407106,+,-62,ARFIP1,153701105
cg02879661,-,-430,PABPC1,101734316
cg08300443,-,28,EXOSC5,41903264
cg03943717,+,660,MRPL20-AS1,1334909
cg07026454,+,119,SLC52A2,145582272
cg16304914,-,-89,KDM4A-AS1,44173012
cg15982991,+,-103,C14orf119,23564713
cg06877599,+,-9,SUPT5H,39936221
cg10163945,+,-6,COMMD10,115421158
cg12560992,-,54,TRIM37,57184241
cg00662684,+,277,EPHX4,92495541
cg16534103,+,93,CPE,166300159
cg05094271,-,-3,WDR4,44299699
cg02430562,-,3,TICAM1,4831724
cg23672395,-,12,LOC105372493,1099091
cg08633923,+,590,MTR,236958591
cg08738430,-,1184,ZFP36L2,43453745
cg01677148,+,-23,DDB2,47236524
cg09344943,+,28,CDC42EP2,65082336
cg06971720,-,-207,PRKAA1,40798476
cg17780956,-,501,MAP9,156298117
cg22219254,-,370,FRY-AS1,32605776
cg22345522,-,18,FOSL1,65668016
cg25609284,-,-115,BLCAP,36156278
cg03354590,-,26,PNMA8C,46932193
cg12219045,-,-149,RTL6,44894113
cg24847163,-,-20,GABBR1,29600960
cg17394176,+,-515,SMIM2-AS1,44716463
cg20859089,-,102,FBXL20,37557879
cg08879870,+,128,ADPRM,10600910
cg22202154,-,76,PYCR1,79895176
cg17780992,-,133,YTHDC1,69215808
cg18575406,+,324,FBH1,5932205
cg17759082,+,-282,SEC22A,122920789
cg01083689,-,10,DHRS3,12678216
cg00419564,-,-393,S100A6,153508467
cg23600533,-,-76,ZNHIT2,64885173
cg26506087,-,-127,DEPDC1B,59995993
cg22230508,+,416,RAB30-DT,82783107
cg07427138,-,-178,DYM,46987015
cg09478597,-,348,LOC102723701,37594944
cg14447887,-,-49,EIF3H,117768062
cg19112957,-,458,AGBL2,47736921
cg05506986,+,601,CDCA7,174219599
cg05929574,-,-304,SAMD10,62610995
cg23183906,+,-215,TPM4,16187304
cg23937228,-,162,C2CD5,22697476
cg21112148,-,525,FBXL12,9929755
cg11796345,+,-447,EIF2B2,75469623
cg00394358,+,108289,PSD2,139175392
cg26808810,-,-123,ZNF200,3285158
cg08494041,-,332,PNKP,50370833
cg21873261,-,-132,B9D2,41870054
cg27438756,+,-4,FPGT-TNNI3K,74663925
cg08733453,-,-148,SLC25A28,101380196
cg17882426,-,259,PRKD2,47217577
cg01970519,+,1825,NPAS1,47523093
cg06093395,-,-175,TMEM230,5093722
cg17153055,+,763,MALAT1,65265208
cg08124910,-,-54,SPATA32,43339461
cg22562194,-,-120,MGC16275,72209460
cg16628484,+,-58,ANXA2R-AS1,43042235
cg19293748,-,652,ZNF611,53238297
cg21014120,-,-34,ICA1L,203736489
cg11805472,-,-126,CCHCR1,31125974
cg19808841,-,3,MKLN1-AS,131012538
cg18559442,-,-34,GAK,926104
cg19520219,+,143,RPLP2,809966
cg20102397,+,357,ARHGEF17,73019320
cg12727462,-,145,SLC25A24,108742965
cg02257750,-,570,HSPA12A,118502077
cg22526415,-,-119,HEATR1,236767816
cg24171114,+,-107,GDPD1,57297871
cg27066638,-,12,GMIP,19754466
cg25580342,+,196,HS3ST3B1,14204397
cg16246590,-,-38,ARFRP1,62339205
cg08044516,+,-4,SARM1,26698714
cg04006554,-,187,ENPP5,46138717
cg11217567,+,300,RIOK1,7390040
cg11923617,-,4,GPR4,46105470
cg10027270,+,36,NOP9,24769055
cg12959887,-,76,STX18,4543775
cg08790212,-,12,UBTF,42297043
cg03315935,-,44,RGMB-AS1,98108788
cg27622722,+,-258,SGK3,67625015
cg13113197,+,-14,VWA8-AS1,42535304
cg00213905,-,-44,ATG2A,64684681
cg05990072,-,-149,RABEP2,28936559
cg04069518,+,143,RPL27A,8704338
cg21433121,+,122,KCTD6,58477822
cg07508229,+,-108,TBC1D12,96162297
cg07097636,+,148,TMEM97,26646225
cg26525486,-,-68,PRR14L,32146118
cg13124842,-,-166,XNDC1N,71639640
cg01549820,+,95,IQCH,67547123
cg11004501,-,-516,KCTD12,77460540
cg18373552,+,-99,SAMD8,76871413
cg11641102,+,793,PTK2B,27183080
cg26228266,-,-25990,SMIM12,35325350
cg06798642,-,-227,TEC,48271855
cg07099627,+,-87,PLPPR2,11466107
cg22417879,-,-40,SDCBP2,1306513
cg26384310,-,-4238,AQP5-AS1,50356707
cg18375296,-,18,ALYREF,79849462
cg03781594,+,-134,FLNB,57994148
cg26889647,-,42,CLK1,201729381
cg16895948,-,38,POLR3C,145610913
cg10931190,+,747,TSLP,110405759
cg01514859,-,-262,PLEKHG5,6557472
cg18830721,-,22,SEC31A,83821722
cg10307590,-,275,FDXACB1,111749889
cg17215843,+,-72,HERC3,89513630
cg25344133,+,277,ZNF773,58011305
cg10811681,-,62,ZFP36L1,69259784
cg05637266,-,11,ZNF799,12512085
cg03952331,-,-110,SCARF2,20792112
cg02159586,+,-220,SANBR,61293005
cg20248356,-,-388,SLC19A2,169455208
cg16418163,+,162,PXYLP1,140950666
cg23949612,+,-138,CNOT2,70636797
cg20499457,+,1159,APOLD1,12938592
cg19077271,-,25,SNHG17,37064020
cg14867604,+,682,EVL,100437758
cg23434919,-,172,STK10,171615228
cg18723031,+,-233,OS9,58087914
cg16974257,+,-173,USP16,30396988
cg16639138,-,-221,PLOD3,100860862
cg22555102,-,186,SNX5,17949437
cg18733820,-,-48,PSMD12,65362693
cg14872736,+,6,TMEM141,139685795
cg09239099,+,-11,ERC1,1100388
cg21515159,-,63,ECSIT,11639680
cg12482835,+,-21542,FAM83A,124191286
cg25489024,-,-42921,ADGRL1,14316981
cg25625860,+,-51,PPM1D,58677553
cg16852837,-,84,MBD2,51751039
cg14973383,+,52,ATG4B,242577107
cg14480679,-,-154,ABCC5,183735672
cg00423826,+,3627,ADGRB1,143531009
cg07168392,-,86,ODF2L,86861744
cg07602954,-,228,RNH1,507242
cg25181631,+,-140,LDHA,18417897
cg19139210,-,-120,TASP1,13619579
cg13190924,+,7,SERF2,44084517
cg10139443,-,50,USP45,99963299
cg13530621,-,-146,GJA3,20735191
cg01166994,-,20,PPP1R3D,58515360
cg09173344,+,43,CANX,179125787
cg00061989,+,944,CDK12,37617738
cg26252350,-,142,SLC30A4,45814953
cg11236429,+,7804,HAND2-AS1,174451608
cg02329935,+,-12,PDE8B,76506504
cg23678594,-,-551,NADK,1711470
cg06710176,-,121,DNAI7,25348094
cg17894889,-,10,PPP1R12C,55629005
cg23197935,+,218,ZNF808,53030920
cg14271400,+,-350,EPHB2,23037330
cg20114404,+,-14,WDR83,12780566
cg17159483,+,228,FAM8A1,17600532
cg07497264,-,114,DDX24,94547548
cg11326968,-,-56,FAM13C,61122307
cg02281514,-,-13,PECR,216946532
cg14492800,+,-62,GDNF-AS1,37839985
cg13675469,-,22,MRPS14,174992561
cg14320054,-,597,LINC01509,110228866
cg05077167,-,205,ZFP36L2,43453745
cg01273125,+,-103,NELFB,140149778
cg11202785,+,146,ABCD3,94883944
cg08935021,+,-13,RCC1,28832554
cg24054508,-,119,YRDC,38273880
cg20961591,+,376,SPINT2,38755212
cg03307465,-,-289,SLC8A1,40679230
cg14944578,+,102,PIK3R2,18263972
cg15530554,-,115,SGTA,2783271
cg22164619,+,-151,PSMC4,40477071
cg24337993,+,-2150,BHLHA9,1173737
cg06712181,-,11,DCTPP1,30441351
cg09593184,-,4727,LINC00237,21086999
cg19931305,-,-611,SLC10A7,147443092
cg15923100,+,-330,RCOR3,211432707
cg14409941,-,681,ADAMTS2,178772462
cg03945322,-,-29,TMEM202-AS1,72766580
cg26874164,+,-9,ZNF324B,58962988
cg25450837,+,8497,PPFIA3,49622800
cg07133894,-,63,RTCB,32808234
cg22907065,-,-94,RHOA,49449409
cg08898568,-,14,ATP13A2,17338423
cg16586566,+,-31870,LINC01732,181143619
cg25559490,+,-650,WRNIP1,2765626
cg16866038,+,117,ARCN1,118443123
cg17151150,+,-156,C2CD2L,118978053
cg11248182,-,429,DNAJC18,138775214
cg21071815,-,439,IFRD2,50329860
cg13666703,+,-597,NR4A3,102584166
cg09756132,+,-206,ZNF771,30418926
cg02051832,+,-286,EXOSC8,37574922
cg12104764,-,-53,MMAB,110011309
cg15138883,-,771,FEV,219849906
cg10639440,-,186,SCRN1,30029417
cg21842222,-,-290,SF1,64546014
cg11360819,-,-71,DTNBP1,15663289
cg16095542,-,282,DCST1-AS1,155023641
cg06684939,+,-460,RNF181,85822867
cg11933220,-,34,NOP10,34635337
cg03114442,-,119,DHRS12,52378298
cg15823180,+,-47,ADAMTSL4,150521883
cg27041875,-,-229,SYCE2,13030107
cg24809072,+,290,SRRM4,119419345
cg17244462,-,9,CAMK2D,114682894
cg11220133,+,33,MCM4,48873500
cg04531202,+,9,FLJ30679,86588925
cg21478140,+,-1641,BAHCC1,79369256
cg26652302,+,-80,FAM174C,1275528
cg09241284,+,196,TRIM39,30294245
cg22135941,-,-12,IGSF11,118753693
cg14626490,+,537,NUP188,131709977
cg15921099,+,-208,RALB,121010427
cg19539421,+,-98,ARL4A,12726527
cg08799692,+,419,ORMDL2,56211824
cg15878471,-,-33,SHMT1,18266864
cg12842013,-,114,HOMEZ,23755341
cg06279414,-,263,TRIP11,92506403
cg21356179,-,386,ACOX1,73975247
cg25278669,-,-277,ZBTB3,62521632
cg13229494,+,-255,AGL,100315916
cg23101014,+,121,MRM3,685592
cg22958231,-,-99,SPATA4,177116736
cg27648738,+,-281,SH3GL3,84116092
cg18174928,+,198,LIFR-AS1,38556887
cg01207490,+,145,CORO1A,30194922
cg07378760,+,-155,FLNB,57994148
cg17954603,-,-199,CENPU,185655250
cg19079000,+,32,ZNF830,33288558
cg13373321,-,-27,KANSL2,49076021
cg04125246,-,42,ULK4,42003595
cg27649764,+,-796,CTDSPL2,44719826
cg01294263,+,-226,PHLDB2,111578673
cg13949903,-,23,PRPSAP1,74349997
cg20065569,+,643,RIOX1,73957637
cg01815921,+,602,TTC19,15903137
cg12975220,+,329,MEIS1,66662256
cg22125968,-,-95,EPSTI1,43566377
cg08367275,+,-157,SLC16A7,59989809
cg23660154,+,1231,LINC01397,110625309
cg23355674,-,393,ZNF467,149470677
cg08220261,-,-297,TAF2,120845081
cg12711974,+,-989,PPM1L,160474018
cg25740621,+,45,PSMD14,162164935
cg11233444,-,-21,WAPL,88281549
cg22440715,-,-128,TRIM47,73874662
cg13360150,+,194,BDNF-AS,27528398
cg22966065,-,-89,SMIM14,39640485
cg11197563,+,-515,PRDM10-DT,129872518
cg20997463,+,-246,PFDN5,53689325
cg11721769,+,68,ALDH5A1,24495196
cg09511190,-,-617,RFFL,33416245
cg00930890,+,-211,DHRS11,34948308
cg03077572,-,-184,PCYT2,79869275
cg10122766,+,-175,TLE6,2977561
cg07183721,+,27516,BMPER,33945150
cg05338497,+,425,CEP295,93394847
cg22091297,+,6,TNFRSF19,24153498
cg24980583,+,42,SSBP1,141438406
cg08512345,+,81,APC,112043194
cg07365274,-,-107,ZBTB20,114866135
cg23043213,+,-240,POLA2,65029432
cg16295162,,999999999,,
cg23239935,-,59,TIMELESS,56843210
cg13590336,+,108,TCF12,57210287
cg25796445,-,-26,BET1L,207399
cg10356613,+,-280,LHX1,35294771
cg09755039,+,456,USP21,161129289
cg00014996,+,-208,USP14,158556
cg14543852,-,-6,DCTN4,150138579
cg06543087,-,-746,VAV3,108507802
cg03524572,-,289,STMN3,62284777
cg01084648,-,799,RBM39,34330182
cg14046757,+,-85,ZC3H14,89029690
cg04852413,-,-18,FOXM1,2986340
cg03035871,-,-236,DNAAF2,50100704
cg23053918,-,52,DDB1,61100577
cg24397622,+,-38,TDG,104359649
cg19466178,-,17,DEDD2,42721829
cg08228115,+,-199,PARD6B,49348116
cg16315742,+,-93,BAIAP2,79008950
cg18062684,+,-318,MARK2,63606581
cg03124680,-,-232,NAP1L4,3013559
cg03087610,-,219,AIFM2,71892581
cg25989668,-,-34,TRIP11,92506403
cg18259915,+,911,LSM14B,60697530
cg24364760,+,292,HERC3,89513630
cg03948536,-,-170,TXNL4B,72127768
cg20923716,+,37,MAPRE2,32556990
cg06883949,+,221,FGFR3,1795019
cg06233211,+,574,SPRY1,124317949
cg03774540,+,-336,LAMA3,21269416
cg22000725,+,-41,MARCHF2,8478188
cg09284457,+,465,HCG14,28864306
cg27049727,+,-468,ZNF263,3333490
cg22847251,+,-3,BABAM1,17378251
cg08530030,-,21,NUDCD3,44530257
cg22891287,+,-84,PROSER3,36249076
cg07737564,+,70,ZNF223,44556188
cg12691382,+,130,DEPDC7,33037662
cg12260653,+,-45,SLC35G1,95653734
cg08653874,+,60,SRSF5,70233858
cg06797835,-,142,COX10-DT,13972775
cg27220091,+,-103,ADAM22,87563565
cg23995744,+,-42,CDC20,43824651
cg04410777,-,1155,SEMA6B,4559696
cg23331220,+,-899,MAT2B,162932624
cg14497503,+,-30,PTPA,131873693
cg11890603,-,-130,BET1L,207399
cg07960787,-,-40,NAGPA,5083936
cg08935793,+,19,CYLD,50775996
cg02632274,+,-1722,ZBTB7B,154975124
cg23238603,+,-14937,SERINC2,31882623
cg24334304,+,64,TOX-DT,60031768
cg02386416,-,-413,UBE2N,93835723
cg22389730,+,4799,FCRLB,161692442
cg03191830,+,1815,ETV2,36132646
cg12799119,+,9297,CCDC33,74528666
cg23515942,-,1157,HYAL2,50360176
cg06864275,-,113,SBNO2,1174267
cg18802414,+,-59,VCL,75757873
cg00389713,+,-129,SRF,43139006
cg24808711,-,377,MKNK2,2051243
cg17860186,+,-261,PLEKHG2,39903308
cg17177219,+,-401,TDG,104359649
cg09993092,-,699,RXRB,33168442
cg10576516,+,-10,SAP30BP,73663417
cg04086786,+,504,LOC643327,3455936
cg09509035,-,-175,ARID4B,235490802
cg12126991,+,-4,RASSF4,45455249
cg27572240,-,-76,RANGAP1,41682191
cg15083255,-,-56,NAT9,72772484
cg26975351,-,5,SBF2,10315766
cg25735887,-,43283,ZNF117,64451414
cg15146004,-,767,DCP1A,53381570
cg03085224,-,-213,DAXX,33290736
cg24233331,-,18,UBOX5,3140511
cg05733364,-,374,NMT2,15210692
cg00720764,-,-140,MMADHC,150444289
cg18116154,-,290,NMNAT3,139396814
cg08428707,-,23,ZNF341-AS1,32398905
cg08114521,-,17,ZNF565,36705986
cg04780294,+,168,GAA,78075379
cg18863314,-,-326,MMS22L,97731092
cg20219074,-,-189,SPTY2D1,18655889
cg20279784,-,110,TUBE1,112408685
cg27313857,-,22,TMEM87A,42565782
cg11973052,-,229,SOCS1,11350061
cg04582364,+,1983,FST,52776458
cg11267619,+,571,PRR15,29603450
cg01823956,+,165,PPP2R5C,102228045
cg23213016,+,84,RAP2B,152880014
cg07917406,-,-53,RAPGEF4-AS1,173600934
cg27091233,-,-479,BAG6,31620438
cg08974656,-,168,TMEM127,96931735
cg04119133,-,-32,ZNF594,5095163
cg23068701,+,-11,CLCN6,11866247
cg14183864,-,-96,MRPL53,74699807
cg15845603,+,-19,ZNF540,38085776
cg14087806,+,2067,KCTD2,73028665
cg08239177,-,14,HEY1,80680002
cg24506149,-,2,MYCBP,39339050
cg07051718,+,202,RPS15,1438394
cg26253438,+,1559,ATP2B4,203597064
cg17644311,-,223,CEP83,94854230
cg18576158,+,-95,ZNF264,57702867
cg20996579,+,-98,ARID4A,58765272
cg11004309,-,186,COMMD7,31331273
cg24131747,-,-381,VTI1B,68141349
cg17605847,-,582,PREB,27357504
cg25499461,-,-175,IRF2BP1,46389399
cg09883994,-,-102,TMED7,114961733
cg17541810,+,363,ETV6,11802607
cg20666492,-,-243,RASGRP1,38857015
cg00328972,-,18,NADK,1710255
cg08210950,+,56,HEXB,73981057
cg25106814,-,321,CAAP1,26892800
cg02852257,-,-137,TRIM33,115053824
cg03885684,+,-181,EPB41L5,120770652
cg08127293,+,-15909,MIR193BHG,14395237
cg13885325,-,168,KLLN,89623290
cg25088409,-,-5483,RN7SL2,50329567
cg16135470,+,-412,CDKN2C,51435916
cg08275608,+,-557,BRD2,32940860
cg26618965,-,620,TCF24,67874826
cg26528620,-,-134,CYP2R1,14913217
cg20499859,-,-275,CTDSP2,58240512
cg00115629,-,-168,RFT1,53164451
cg27373972,+,-111,B3GALT4,33244899
cg15946251,+,-96,KCNJ5,128761250
cg26670100,-,129,NSL1,212965119
cg02806352,+,-19,KCTD20,36410776
cg17386433,+,237,FAM76A,28052471
cg18889183,-,323,DNMT3A,25564794
cg17614564,-,-182,PCYT2,79869275
cg15233114,+,-36,TFAM,60145169
cg11731737,+,932,CRHR1,43861685
cg25306087,+,-5,OTOP2,72920367
cg11468711,+,1190,ZNF710,90544555
cg22995684,+,-131,ZNF71-SMIM17,57106669
cg09290506,-,-73,METTL1,58165888
cg07125251,-,49314,ENPP6,185139026
cg19591206,-,-40,SLCO2A1,133748769
cg03987639,-,-64968,LINC02016,127109513
cg13921000,+,59,SEC61G-DT,54827005
cg15623216,-,137,PEDS1-UBE2V1,48770260
cg02505293,+,-46,CUTC,101491990
cg06643390,-,11,GPR161,168106168
cg02853781,-,-4,ALDH4A1,19229049
cg13293757,+,-165,ATRIP,48488140
cg16013485,+,-399,TOMM6,41755431
cg11842141,+,-9,BCL2L11,111878490
cg23329073,+,-194,METRNL,81039021
cg26497264,-,-34,ZNF823,11849761
cg11073494,-,-7203,FIS1,100888362
cg27135788,+,-1679,TRIM8,104404235
cg01683593,-,-63,TRIM25,54991410
cg04293065,+,40,NAPA-AS1,47987538
cg22798045,+,161,HIPK3,33278926
cg05272277,-,-197,SUCLA2,48575409
cg07296147,-,55,GNPDA1,141392592
cg07639472,-,-165,GABARAP,7145768
cg14422245,-,796,TUT4,53018762
cg18750407,-,-226,RHEBL1,49463762
cg04561389,-,1914,FGF14,103054382
cg14952089,-,-238,MARCHF3,126366250
cg24799086,-,-205,SPATA4,177116736
cg04963424,+,336,SLC26A10,58013309
cg19493204,+,-129,WDR19,39184148
cg20751795,+,-24,ZNF586,58281043
cg24994173,+,-74,TSLP,110409071
cg15828085,+,-421,CCNE1,30302897
cg26163375,-,-486,UBE2J2,1209234
cg13633669,+,-136,ARG2,68086636
cg08006076,-,-35,NAT9,72772484
cg07594474,+,126,CDC7,91966407
cg08596637,-,-230,KLF10,103665971
cg16480132,+,54,ATP6V0E2,149571057
cg10187907,+,310,ZBTB49,4291977
cg02344820,-,-6883,BLACE,155160628
cg02319103,+,236,SHBG,7517381
cg22209751,-,-22,ZNF266,9546249
cg04695732,-,3449,TMEM121B,17602250
cg16994128,+,-23,LUC7L2,139044639
cg24607181,-,20063,LINC00910,41466266
cg15452479,-,243,VIPAS39,77923944
cg25353054,+,31,GTPBP1,39101948
cg10709532,-,-95,VPS28,145653931
cg03283048,+,-148,FLYWCH2,2933195
cg01683044,+,-39,HOXC6,54410671
cg24779145,-,-21,EID2,40030801
cg02572278,+,60,PFKFB3,6244894
cg05666077,-,105,ANKRD52,56652168
cg22716904,+,-73,MCM5,35796132
cg13094267,-,-536,ADPGK,73076099
cg10142189,+,-51,CSTF3-DT,33183202
cg09476149,-,-344,TRAP1,3767525
cg17665164,+,124,CEP63,134204898
cg02582183,+,-95,TMEM80,695638
cg26396455,+,-4203,SHMT2,57623493
cg26334954,-,-5093,GBX1,150864781
cg04332513,+,7,WDR5B-DT,122135052
cg02094388,-,-5,YME1L1,27443313
cg08671383,-,-110,EDEM2,33735139
cg06512858,+,2815,SOX4,21593981
cg07519515,+,445,SYNGR3,2039970
cg00106446,-,-17,ZNF670,247242113
cg15317837,+,-472,GTPBP4,1034373
cg08875431,+,422,TSSC4,2421979
cg03623386,-,-68,EZH1,40897058
cg11748417,+,19,SMIM26,18548075
cg08430329,+,673,NOTO,73429701
cg26632873,-,-851,BCL11A,60780789
cg09644451,-,-171,OGA,103578201
cg04334417,+,-162,RCN1,32112619
cg06422146,+,50,FCSK,70488497
cg02045085,+,160,PALS1,67708151
cg07143525,+,-8017,HSP90AB1,44213930
cg07156844,+,-27,SNAI3-AS1,88729780
cg03010186,-,-386,LOC100507547,32122142
cg02764271,+,86,TMUB2,42264339
cg17428043,+,706,LHX4,180199398
cg08593261,-,951,NKX6-1,85420445
cg27408637,+,53,LTV1,144164474
cg20367852,-,-3231,BCL6,187454289
cg22873130,+,24,MCPH1,6264147
cg02465295,+,990,SEPTIN11,77870904
cg17378483,+,-183,TBC1D14,6911192
cg04156369,+,-55,S1PR1,101702574
cg10201663,-,-1760,IFITM4P,29718925
cg16374328,+,-72,ISCA2,74960467
cg07119260,+,187,LINC01126,43454349
cg27228276,-,-103,SEMA6C,151119107
cg06997381,+,119,UBE2QL1,6448971
cg08717980,-,-5817,LINC01511,1380188
cg12417299,-,396,NEK4,52804956
cg05529848,-,-34600,DNMT3A,25565459
cg07217630,-,-51,DIAPH3,60738062
cg16382382,-,661,TGFBR3,92351708
cg09874052,+,197,SLC30A7,101361645
cg13134535,-,-89,LYSMD1,151138378
cg07964128,+,-125,USP18,18632936
cg17282161,-,-16,SDC4,43977064
cg07544639,-,59981,NEDD9,11232901
cg09648233,+,323,LRWD1,102105430
cg11701759,+,-212,SPINT1,41136674
cg01025599,-,201,LINC01569,4303790
cg14575559,+,-166,ARRDC2,18111932
cg22685245,+,503,DTX1,113494534
cg04102586,+,-39,SLC35A3,100435551
cg20097650,-,138,TMEM185B,120980976
cg20011543,+,-70,SRSF6,42086535
cg07074390,-,-60,PSMG1,40555440
cg00688264,+,108,AIF1L,133971917
cg02589538,+,-114,GMEB1,28995295
cg05445051,+,-110,MTRES1,107349402
cg24662653,-,363,DENND11,141401966
cg04332613,-,78,STK4-DT,43595099
cg26904999,-,-160,MPC1,166796428
cg13861904,-,12494,NOTCH1,139440500
cg09584112,-,-95,NAGPA,5083936
cg20455131,+,-163,ZDHHC23,113666747
cg11248715,-,201,FOXD3-AS1,63788129
cg07472158,-,5,TRMT10A,100485196
cg23624671,+,-12,ALG6,63833297
cg22751101,-,-72,SRP68,74068598
cg08149333,-,558,SLC25A24,108742965
cg19503860,+,-18,SEPSECS-AS1,25162293
cg10865936,+,17,SUPT6H,26989222
cg01944087,-,2497,ANP32A,69113234
cg11369172,-,-89,CHCHD3,132766850
cg04373596,+,-55,NECTIN3,110790662
cg01335781,+,-110,TTC14,180319950
cg26420413,-,-207,EVI5,93250665
cg22369252,+,-141,KMT5C,55851243
cg00118684,-,-52,FAM210A,13726557
cg00981117,+,-120,TADA2B,7045098
cg21384402,+,-193,INA,105036894
cg25890275,-,-302,VPS37C,60928898
cg14417382,-,76,KICS2,64616076
cg13798970,-,-6,ANXA2,60690185
cg01338957,-,735,GOLGA8B,34875852
cg04901763,+,90,CAB39,231577556
cg05450995,+,316,BCL7A,122459789
cg03803211,-,-247,ASPRV1,70313525
cg13904571,+,-115,CSK,75074420
cg03265267,-,331,STAT4,192015720
cg12283520,-,-754,LINC02574,27989233
cg10404142,-,167,NELFE,31926748
cg12537382,-,-4216,NKX1-1,1400230
cg17525428,-,25596,SHANK1,51223059
cg15067018,+,1586,YY1,100705480
cg11198734,-,-15,DCP1A,53381570
cg20989283,-,-75,C7orf31,25219973
cg06728674,-,-93,DIAPH3,60738062
cg14008105,+,-321,NAA35,88556060
cg14451452,-,130,SCAF4,33104431
cg26396707,+,-28,USP21,161129289
cg16764807,+,-55,CDKAL1,20534687
cg07833035,-,328,RPS23,81574173
cg13677369,+,-167,GAS2L1,29703012
cg01416241,+,-129,PCYOX1L,148737608
cg08439970,-,-31,EEF1A1,74230755
cg04524120,+,-308,ZNF570,37960257
cg06607696,+,27,COQ7,19079044
cg24745548,+,16,GMPPA,220363612
cg00294658,-,-564,LPCAT3,7125780
cg07138092,+,-33,SGK3,67687439
cg22598373,-,-47,RSU1,16859423
cg12432162,-,6,LYAR,4291881
cg04936446,+,184,RASSF8,26111164
cg02947021,-,-36,MIDEAS,74227006
cg19343631,+,-26787,CRYBB2P1,25844053
cg00668525,+,-30,CDC7,91966407
cg13155599,-,35,C4orf3,120221800
cg23848775,+,-44,CLUL1,596987
cg23950688,+,230,BAHD1,40733151
